1,Mini,Segment Mini - wariant 1,92
2,Economy,Segment Economy - wariant 2,99
3,Compact,Segment Compact - wariant 3,105
4,Sedan,Segment Sedan - wariant 4,112
5,Kombi,Segment Kombi - wariant 5,119
6,SUV,Segment SUV - wariant 6,126
7,Crossover,Segment Crossover - wariant 7,133
8,Van,Segment Van - wariant 8,139
9,Premium,Segment Premium - wariant 9,146
10,Luxury,Segment Luxury - wariant 10,153
11,Electric,Segment Electric - wariant 11,160
12,Hybrid,Segment Hybrid - wariant 12,167
13,Business,Segment Business - wariant 13,173
14,Family,Segment Family - wariant 14,180
15,Sport,Segment Sport - wariant 15,187
16,Mini,Segment Mini - wariant 16,194
17,Economy,Segment Economy - wariant 17,201
18,Compact,Segment Compact - wariant 18,207
19,Sedan,Segment Sedan - wariant 19,214
20,Kombi,Segment Kombi - wariant 20,221
21,SUV,Segment SUV - wariant 21,228
22,Crossover,Segment Crossover - wariant 22,235
23,Van,Segment Van - wariant 23,241
24,Premium,Segment Premium - wariant 24,248
25,Luxury,Segment Luxury - wariant 25,255
26,Electric,Segment Electric - wariant 26,262
27,Hybrid,Segment Hybrid - wariant 27,269
28,Business,Segment Business - wariant 28,275
29,Family,Segment Family - wariant 29,282
30,Sport,Segment Sport - wariant 30,289
