1,Doradca klienta,Opis stanowiska 1,28
2,Specjalista ds. flot,Opis stanowiska 2,31
3,Koordynator oddzialu,Opis stanowiska 3,33
4,Mechanik,Opis stanowiska 4,35
5,Mlodszy mechanik,Opis stanowiska 5,38
6,Kierownik oddzialu,Opis stanowiska 6,40
7,Specjalista ds. szkod,Opis stanowiska 7,42
8,Analityk operacyjny,Opis stanowiska 8,45
9,Asystent biura,Opis stanowiska 9,47
10,Kontroler jakosci,Opis stanowiska 10,50
11,Pracownik myjni,Opis stanowiska 11,52
12,Specjalista IT,Opis stanowiska 12,54
13,Ksiegowy,Opis stanowiska 13,57
14,Specjalista ds. windykacji,Opis stanowiska 14,59
15,Pracownik call center,Opis stanowiska 15,61
16,Specjalista ds. umow,Opis stanowiska 16,64
17,Pracownik lotniskowy,Opis stanowiska 17,66
18,Inspektor techniczny,Opis stanowiska 18,68
19,Specjalista ds. zakupow,Opis stanowiska 19,71
20,Koordynator serwisu,Opis stanowiska 20,73
