1,Dyrektor,Zakres obowiązków dla: Dyrektor,130.33
2,Kierownik Oddziału,Zakres obowiązków dla: Kierownik Oddziału,177.85
3,Doradca Klienta,Zakres obowiązków dla: Doradca Klienta,178.61
4,Mechanik,Zakres obowiązków dla: Mechanik,104.85
5,Księgowy,Zakres obowiązków dla: Księgowy,119.41
6,Specjalista IT,Zakres obowiązków dla: Specjalista IT,107.68
7,Pracownik Myjni,Zakres obowiązków dla: Pracownik Myjni,152.82
8,Ochroniarz,Zakres obowiązków dla: Ochroniarz,99.7
9,Kierowca,Zakres obowiązków dla: Kierowca,141.31
10,Asystent Zarządu,Zakres obowiązków dla: Asystent Zarządu,56.24
11,Specjalista 11,Zakres obowiązków dla: Specjalista 11,109.81
12,Specjalista 12,Zakres obowiązków dla: Specjalista 12,194.76
13,Specjalista 13,Zakres obowiązków dla: Specjalista 13,87.56
14,Specjalista 14,Zakres obowiązków dla: Specjalista 14,147.76
15,Specjalista 15,Zakres obowiązków dla: Specjalista 15,140.47
