1,1,Dolnoslaskie
2,2,Kujawsko-Pomorskie
3,3,Lubelskie
4,4,Lubuskie
5,5,Lodzkie
6,6,Malopolskie
7,7,Mazowieckie
8,8,Opolskie
9,9,Podkarpackie
10,10,Podlaskie
11,1,Pomorskie
12,2,Slaskie
13,3,Swietokrzyskie
14,4,Warminsko-Mazurskie
15,5,Wielkopolskie
16,6,Zachodniopomorskie
17,7,Bayern
18,8,Sachsen
19,9,Brandenburg
20,10,Hessen
21,1,Saarland
22,2,Bohemia
23,3,Moravia
24,4,Burgenland
25,5,Tirol
26,6,Galicia
27,7,Lombardia
28,8,Toscana
29,9,Andalucia
30,10,Catalunya
31,1,Dolnoslaskie Region 31
32,2,Kujawsko-Pomorskie Region 32
33,3,Lubelskie Region 33
34,4,Lubuskie Region 34
35,5,Lodzkie Region 35
36,6,Malopolskie Region 36
37,7,Mazowieckie Region 37
38,8,Opolskie Region 38
39,9,Podkarpackie Region 39
40,10,Podlaskie Region 40
41,1,Pomorskie Region 41
42,2,Slaskie Region 42
43,3,Swietokrzyskie Region 43
44,4,Warminsko-Mazurskie Region 44
45,5,Wielkopolskie Region 45
46,6,Zachodniopomorskie Region 46
47,7,Bayern Region 47
48,8,Sachsen Region 48
49,9,Brandenburg Region 49
50,10,Hessen Region 50
51,1,Saarland Region 51
52,2,Bohemia Region 52
53,3,Moravia Region 53
54,4,Burgenland Region 54
55,5,Tirol Region 55
56,6,Galicia Region 56
57,7,Lombardia Region 57
58,8,Toscana Region 58
59,9,Andalucia Region 59
60,10,Catalunya Region 60
61,1,Dolnoslaskie Region 61
62,2,Kujawsko-Pomorskie Region 62
63,3,Lubelskie Region 63
64,4,Lubuskie Region 64
65,5,Lodzkie Region 65
66,6,Malopolskie Region 66
67,7,Mazowieckie Region 67
68,8,Opolskie Region 68
69,9,Podkarpackie Region 69
70,10,Podlaskie Region 70
71,1,Pomorskie Region 71
72,2,Slaskie Region 72
73,3,Swietokrzyskie Region 73
74,4,Warminsko-Mazurskie Region 74
75,5,Wielkopolskie Region 75
76,6,Zachodniopomorskie Region 76
77,7,Bayern Region 77
78,8,Sachsen Region 78
79,9,Brandenburg Region 79
80,10,Hessen Region 80
81,1,Saarland Region 81
82,2,Bohemia Region 82
83,3,Moravia Region 83
84,4,Burgenland Region 84
85,5,Tirol Region 85
86,6,Galicia Region 86
87,7,Lombardia Region 87
88,8,Toscana Region 88
89,9,Andalucia Region 89
90,10,Catalunya Region 90
